omega,seed,pinn_gmm_micro,std_gmm_micro,pinn_knn_micro,std_knn_micro
2.0,27,0.405982905982906,0.4935897435897436,0.6239533287577214,0.5446808510638298
2.0,28,0.5,0.48504273504273504,0.5745367192862045,0.5793639899336536
2.0,24,0.5098901098901099,0.4945054945054945,0.6791208791208792,0.5802197802197802
2.0,26,0.46621621621621623,0.5135135135135135,0.4640194075587334,0.43682328907048007
2.0,29,0.5391498881431768,0.5794183445190156,0.500649188514357,0.5998002496878901
2.86,2,0.5412026726057907,0.5189309576837416,0.5389762796504369,0.5948813982521848
2.86,1,0.48717948717948717,0.4166666666666667,0.4553649050560512,0.47879203843514073
2.86,6,0.5264367816091954,0.5862068965517241,0.5105122324159022,0.6252548419979613
2.86,3,0.5811965811965812,0.4722222222222222,0.6047128803477465,0.5449096316632349
2.86,0,0.532051282051282,0.4722222222222222,0.6328071379547016,0.6072294669412034
2.86,12,0.5427350427350427,0.5448717948717948,0.5340883093113704,0.6627087622969572
2.86,8,0.4722222222222222,0.5384615384615384,0.508625028597575,0.5558911004346831
2.86,4,0.42948717948717946,0.5170940170940171,0.46337222603523215,0.5318920155570808
2.86,7,0.47649572649572647,0.5064102564102564,0.5509265614275909,0.540311141615191
2.86,5,0.5491452991452992,0.5491452991452992,0.6046671242278655,0.5726378403111416
2.86,13,0.6111111111111112,0.5235042735042735,0.5256005490734386,0.6258522077327842
2.86,11,0.5668934240362812,0.5351473922902494,0.6418539325842696,0.5602655771195098
2.86,9,0.5182795698924731,0.4881720430107527,0.6408602150537633,0.5462365591397849
2.86,10,0.5470085470085471,0.532051282051282,0.5067032715625714,0.5859528711965225
2.86,15,0.44956140350877194,0.5219298245614035,0.4279741997133302,0.5068561872909699
2.86,14,0.5128205128205128,0.47649572649572647,0.5297414779226721,0.5283001601464196
2.86,16,0.4722222222222222,0.44871794871794873,0.5769617936398993,0.5257149393731411
2.86,18,0.5464362850971922,0.5269978401727862,0.5524777933613838,0.49230949041608224
2.86,17,0.47300215982721383,0.4773218142548596,0.5553997194950913,0.5314866760168303
2.86,19,0.6260683760683761,0.46794871794871795,0.5343857240905971,0.4810112102493709
2.86,20,0.5128205128205128,0.5192307692307693,0.5299473804621367,0.44040265385495314
2.86,21,0.48464912280701755,0.4232456140350877,0.5353798375537506,0.5442188246536073
2.86,24,0.5098901098901099,0.5560439560439561,0.7076923076923077,0.6307692307692309
2.86,23,0.48504273504273504,0.49786324786324787,0.5601464195836192,0.5730725234500114
2.86,25,0.5089686098654709,0.4910313901345291,0.5494631710362048,0.5672908863920101
2.86,27,0.4935897435897436,0.5491452991452992,0.5772820864790666,0.6454815831617479
2.86,26,0.545045045045045,0.5675675675675675,0.560699693564862,0.5559754851889684
3.5,1,0.45085470085470086,0.46153846153846156,0.5213452299245024,0.4510867078471746
2.86,22,0.5343680709534369,0.4523281596452328,0.5323565323565324,0.4191697191697192
2.86,29,0.48769574944071586,0.5503355704697986,0.6084893882646691,0.6309862671660424
3.5,0,0.5405982905982906,0.5085470085470085,0.5172729352550903,0.5026080988332189
2.86,28,0.5555555555555556,0.45726495726495725,0.6518874399450928,0.5129489819263326
3.5,2,0.5256124721603563,0.5167037861915368,0.5858177278401997,0.5612734082397004
3.5,3,0.5982905982905983,0.5213675213675214,0.6136353237245481,0.5491420727522306
3.5,5,0.4444444444444444,0.5064102564102564,0.5645161290322581,0.5962479981697552
3.5,4,0.4594017094017094,0.452991452991453,0.453008464882178,0.45307709906199956
3.5,7,0.5085470085470085,0.5256410256410257,0.6131091283459162,0.5361702127659574
3.5,6,0.5517241379310345,0.5494252873563218,0.5860941216445803,0.5931235134216786
3.5,8,0.5064102564102564,0.5854700854700855,0.6304278197208877,0.6196980096087852
3.5,9,0.4129032258064516,0.443010752688172,0.5591397849462365,0.4817204301075269
3.5,13,0.5576923076923077,0.5427350427350427,0.46186227407915814,0.5873713109128346
3.5,11,0.6077097505668935,0.5759637188208617,0.701046986721144,0.5373084780388152
3.5,10,0.48504273504273504,0.5064102564102564,0.5002745367192862,0.5535804163806909
3.5,12,0.6303418803418803,0.5747863247863247,0.6816060398078243,0.6625714939373142
3.5,15,0.5043859649122807,0.4824561403508772,0.6800286669851887,0.6165551839464883
3.5,17,0.468682505399568,0.4535637149028078,0.5571762505843851,0.511851332398317
3.5,16,0.5363247863247863,0.42094017094017094,0.5706932052161976,0.5018988789750629
3.5,14,0.5277777777777778,0.5213675213675214,0.5810112102493709,0.6281628917867764
3.5,18,0.49676025917926564,0.5010799136069114,0.5398550724637682,0.48143992519869094
3.5,19,0.4230769230769231,0.4230769230769231,0.444337680164722,0.5341569434911919
3.5,22,0.4745011086474501,0.516629711751663,0.498998778998779,0.5125274725274724
3.5,21,0.5087719298245614,0.48464912280701755,0.581079789775442,0.46923076923076923
3.5,23,0.532051282051282,0.49572649572649574,0.5773049645390071,0.5645847632120795
3.5,20,0.4658119658119658,0.4700854700854701,0.4253488904140929,0.4681537405628003
3.5,24,0.5054945054945055,0.5208791208791209,0.6747252747252748,0.567032967032967
3.5,25,0.5381165919282511,0.5067264573991032,0.5631710362047441,0.5542821473158552
3.5,27,0.5256410256410257,0.4423076923076923,0.5750857927247769,0.5215282544040265
3.5,26,0.4346846846846847,0.5202702702702703,0.4257150153217569,0.4120020429009193
3.5,28,0.5384615384615384,0.5128205128205128,0.5768245252802562,0.5366735300846488
3.5,29,0.5771812080536913,0.5659955257270693,0.6330337078651685,0.635705368289638
